"Date Printed: Sunday, March 16, 2025 10:32:39 PM"
Title: "AIDS deaths | AIDS prevalence | HIV Stigma | HIV deaths | HIV diagnoses | HIV prevalence | Linkage to HIV care | PrEP coverage and number of persons prescribed | Receipt of HIV medical care | Unstable Housing or Homelessness | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | 2022 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | Ages 13 years and older | All transmission categories""
Footnote(s): Data for 2023 and 2024 are considered preliminary (subject to a 12-month reporting delay). Inclusion of preliminary data in trend assessments is discouraged. Numbers less than 12͵ and rates and percentages based on these numbers͵ should be interpreted with caution. HIV diagnoses and PrEP data for the year 2020͵ which coincided with the onset of the COVID-19 pandemic͵ should be interpreted with caution due to the impact of the pandemic on access to HIV testing͵ PrEP prescriptions͵ and care-related services. Data by transmission category presented based on sex assigned at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.
   Death data for the year 2022 are preliminary and based on death data received by CDC as of December 2023. Deaths in 2020 and beyond should be interpreted considering the impact of the COVID-19 pandemic. For additional information͵ see <a href=https://www.cdc.gov/nchs/nvss/vsrr/covid19/excess_deaths.htm>https://www.cdc.gov/nchs/nvss/vsrr/covid19/excess_deaths.htm</a>. Death data based on residence at death. See Technical Notes for death reporting by jurisdiction.
   Prevalence data for the year 2022 are preliminary and based on death data received by CDC as of December 2023. Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address. See Technical Notes for death reporting by jurisdiction.
   Linkage to care is based on cases diagnosed during the year queried.
   Receipt of care is based on persons living with diagnosed HIV at the end of the year queried.PrEP coverage͵ reported as a percentage͵ is calculated as the number of persons aged ≥16 years classified as having been prescribed PrEP divided by the estimated number of persons aged ≥16 years who had indications for PrEP. To allow for comparison with other HIV indicators͵ data are presented for ≥13‒ and 13‒24-year-olds͵ but represent ≥16‒ and 16‒24-years-olds͵ respectively. CDC has paused PrEP coverage reporting to determine the best methodology for calculating PrEP coverage͵ and to update PrEP coverage estimates using updated methods and sources. Until updated PrEP coverage estimates are published͵ CDC advises against citing specific PrEP coverage data points͵ as historical estimates will be updated.
   Weighted percentages for unstable housing or homelessness and median HIV stigma scores are reported in the ‘Rate per 100͵000’ column with corresponding 95% confidence intervals reported in the ‘Rate LCI’ and ‘Rate UCI’ columns within the Charts and Maps tools or in parentheses within the ‘Rate per 100͵000’ column within the Tables tool.
   To allow for comparison with other HIV indicators͵ data are presented for persons aged ≥13 years and aged 13-24 years. However͵ these estimates are representative of persons with diagnosed HIV aged ≥18 years and 18-24 years͵ respectively. 
   For unstable housing or homelessness͵ estimates with a coefficient of variation ≥0.30 or those based on a denominator sample size less than 30 were suppressed. For HIV stigma͵ estimates based on a denominator sample size less than 30 were suppressed.
   See Technical Notes for more details on data availability͵ stratifications͵ and variable definitions.
   * Estimates with an absolute CI width ≥30͵ estimates with an absolute CI width between 5 and 30 and a relative CI width greater than 130%͵ and estimates of 0% or 100% should be interpreted with caution.
   ^ Jurisdiction with incomplete reporting of deaths for most recent year.
   The 'Sex' column is used for either sex assigned at birth or gender identity.
   NA - Not applicable.



Indicator,Year,Geography,FIPS,Cases,Rate per 100000 (95% CI),Percent
"Linkage to HIV care","2021","Tennessee","47","583","NA","70.2"
"Unstable Housing or Homelessness","2021","Tennessee","47","Data not available","Data not available","NA"
"Receipt of HIV medical care","2021","Texas","48","72,212","NA","75.0"
"PrEP coverage and number of persons prescribed","2021","Texas","48","34,772","NA","28.1"
"Linkage to HIV care","2021","Texas","48","3,431","NA","78.6"
"HIV prevalence","2021","Texas","48","100,800","414.2","NA"
"HIV diagnoses","2021","Texas","48","4,510","18.5","NA"
"HIV deaths","2021","Texas","48","1,765","7.3","NA"
"AIDS prevalence","2021","Texas","48","47,587","195.5","NA"
"AIDS deaths","2021","Texas","48","1,359","5.6","NA"
"HIV Stigma","2021","Texas","48","No Suppression","31.9 (27.6 - 36.2)","NA"
"Unstable Housing or Homelessness","2021","Texas","48","No Suppression","22.3 (17.4 - 27.2)","NA"
"Receipt of HIV medical care","2021","Utah","49","2,518","NA","75.9"
"PrEP coverage and number of persons prescribed","2021","Utah","49","3,257","NA","47.6"
"HIV prevalence","2021","Utah","49","3,440","128.2","NA"
"AIDS prevalence","2021","Utah","49","1,568","58.4","NA"
"AIDS deaths","2021","Utah","49","31","1.2","NA"
"HIV Stigma","2021","Utah","49","Data not available","Data not available","NA"
"HIV deaths","2021","Utah","49","44","1.6","NA"
"HIV diagnoses","2021","Utah","49","134","5.0","NA"
"Linkage to HIV care","2021","Utah","49","111","NA","83.5"
"Unstable Housing or Homelessness","2021","Utah","49","Data not available","Data not available","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","Missouri","29","190","3.7","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Missouri","29","Data not available","Data not available","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","Missouri","29","249","4.8","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Missouri","29","367","7.1","NA"
"Linkage to HIV care","2020 (COVID-19 Pandemic)","Missouri","29","285","NA","79.4"
"Unstable Housing or Homelessness","2020 (COVID-19 Pandemic)","Missouri","29","Data not available","Data not available","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","Wyoming","56","7","1.4","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Wyoming","56","178","36.8","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Wyoming","56","Data not available","Data not available","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","Wyoming","56","8","1.7","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Wyoming","56","14","2.9","NA"
"HIV prevalence","2020 (COVID-19 Pandemic)","Wyoming","56","354","73.1","NA"
"Linkage to HIV care","2020 (COVID-19 Pandemic)","Wyoming","56","13","NA","92.9"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Wyoming","56","95","NA","10.7"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","Wyoming","56","276","NA","80.7"
"Unstable Housing or Homelessness","2020 (COVID-19 Pandemic)","Wyoming","56","Data not available","Data not available","NA"
"AIDS deaths","2019","Alabama","01","170","4.1","NA"
"HIV Stigma","2019","Alabama","01","Data not available","Data not available","NA"
"HIV deaths","2019","Alabama","01","269","6.5","NA"
"HIV diagnoses","2019","Alabama","01","632","15.3","NA"
"Linkage to HIV care","2019","Alabama","01","505","NA","79.2"
"Unstable Housing or Homelessness","2019","Alabama","01","Data not available","Data not available","NA"
"AIDS deaths","2019","Alaska","02","9","1.5","NA"
"AIDS prevalence","2019","Alaska","02","370","61.6","NA"
"HIV Stigma","2019","Alaska","02","Data not available","Data not available","NA"
"HIV deaths","2019","Alaska","02","12","2.0","NA"
"HIV diagnoses","2019","Alaska","02","27","4.5","NA"
"HIV prevalence","2019","Alaska","02","716","119.2","NA"
"Linkage to HIV care","2019","Alaska","02","23","NA","85.2"
"PrEP coverage and number of persons prescribed","2019","Alaska","02","225","NA","12.6"
"Receipt of HIV medical care","2019","Alaska","02","616","NA","88.0"
"Unstable Housing or Homelessness","2019","Alaska","02","Data not available","Data not available","NA"
"Receipt of HIV medical care","2019","Arizona","04","12,323","NA","74.5"
"PrEP coverage and number of persons prescribed","2019","Arizona","04","4,584","NA","17.8"
"HIV prevalence","2019","Arizona","04","17,060","278.7","NA"
"AIDS prevalence","2019","Arizona","04","7,860","128.4","NA"
"AIDS deaths","2019","Arizona","04","170","2.8","NA"
"HIV Stigma","2019","Arizona","04","Data not available","Data not available","NA"
"HIV deaths","2019","Arizona","04","233","3.8","NA"
"HIV diagnoses","2019","Arizona","04","733","12.0","NA"
"Linkage to HIV care","2019","Arizona","04","630","NA","82.8"
"Unstable Housing or Homelessness","2019","Arizona","04","Data not available","Data not available","NA"
"Receipt of HIV medical care","2019","Arkansas","05","3,721","NA","65.6"
"HIV prevalence","2019","Arkansas","05","5,837","231.8","NA"
"AIDS prevalence","2019","Arkansas","05","2,614","103.8","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","Montana","30","7","0.8","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Montana","30","347","37.6","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Montana","30","Data not available","Data not available","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","Montana","30","10","1.1","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Montana","30","14","1.5","NA"
"HIV prevalence","2020 (COVID-19 Pandemic)","Montana","30","679","73.6","NA"
"Linkage to HIV care","2020 (COVID-19 Pandemic)","Montana","30","13","NA","92.9"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Montana","30","295","NA","12.9"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","Montana","30","573","NA","85.4"
"Unstable Housing or Homelessness","2020 (COVID-19 Pandemic)","Montana","30","Data not available","Data not available","NA"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","Nebraska","31","1,670","NA","74.3"
"HIV prevalence","2020 (COVID-19 Pandemic)","Nebraska","31","2,299","142.1","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Nebraska","31","1,118","69.1","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","Nebraska","31","23","1.4","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Nebraska","31","Data not available","Data not available","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","Nebraska","31","27","1.7","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Nebraska","31","72","4.4","NA"
"Linkage to HIV care","2020 (COVID-19 Pandemic)","Nebraska","31","65","NA","89.0"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Nebraska","31","709","NA","32.5"
"Unstable Housing or Homelessness","2020 (COVID-19 Pandemic)","Nebraska","31","Data not available","Data not available","NA"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","Nevada","32","7,823","NA","73.4"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Nevada","32","2,513","NA","22.1"
"HIV prevalence","2020 (COVID-19 Pandemic)","Nevada","32","10,944","417.2","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Nevada","32","5,018","191.3","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","Nevada","32","149","5.7","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Nevada","32","Data not available","Data not available","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","Nevada","32","181","6.9","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Nevada","32","394","15.0","NA"
"Linkage to HIV care","2020 (COVID-19 Pandemic)","Nevada","32","338","NA","86.2"
"Unstable Housing or Homelessness","2020 (COVID-19 Pandemic)","Nevada","32","Data not available","Data not available","NA"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","New Hampshire","33","1,021","NA","78.8"
"HIV prevalence","2020 (COVID-19 Pandemic)","New Hampshire","33","1,317","109.5","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","New Hampshire","33","14","1.2","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","New Hampshire","33","626","52.0","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","New Hampshire","33","Data not available","Data not available","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","New Hampshire","33","20","1.7","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","New Hampshire","33","32","2.7","NA"
"Linkage to HIV care","2020 (COVID-19 Pandemic)","New Hampshire","33","26","NA","78.8"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","New Hampshire","33","649","NA","21.5"
"Unstable Housing or Homelessness","2020 (COVID-19 Pandemic)","New Hampshire","33","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","New Jersey","34","5,933","NA","23.5"
"HIV prevalence","2020 (COVID-19 Pandemic)","New Jersey","34","34,630","441.4","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","New Jersey","34","17,388","221.6","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","New Jersey","34","528","6.7","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","New Jersey","34","No Suppression","30.7 (28.4 - 33.0)","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","New Jersey","34","727","9.3","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","New Jersey","34","769","9.8","NA"
"Linkage to HIV care","2020 (COVID-19 Pandemic)","New Jersey","34","Data not available","NA","Data not available"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","New Jersey","34","Data not available","NA","Data not available"
"Unstable Housing or Homelessness","2020 (COVID-19 Pandemic)","New Jersey","34","No Suppression","9.9 (6.2 - 13.6)","NA"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","New Mexico","35","2,942","NA","77.2"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","New Mexico","35","1,235","NA","18.2"
"HIV prevalence","2020 (COVID-19 Pandemic)","New Mexico","35","3,878","217.2","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","New Mexico","35","1,983","111.1","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","New Mexico","35","64","3.6","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","New Mexico","35","Data not available","Data not available","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","New Mexico","35","91","5.1","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","New Mexico","35","132","7.4","NA"
"Linkage to HIV care","2020 (COVID-19 Pandemic)","New Mexico","35","111","NA","84.7"
"Unstable Housing or Homelessness","2020 (COVID-19 Pandemic)","New Mexico","35","Data not available","Data not available","NA"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","New York","36","87,926","NA","71.3"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","New York","36","34,435","NA","47.4"
"Linkage to HIV care","2020 (COVID-19 Pandemic)","New York","36","1,685","NA","85.8"
"HIV prevalence","2020 (COVID-19 Pandemic)","New York","36","124,404","726.4","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","New York","36","1,992","11.6","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","New York","36","2,436","14.2","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","New York","36","69,564","406.2","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","New York","36","1,956","11.4","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","New York","36","No Suppression","28.2 (25.5 - 31.0)","NA"
"Unstable Housing or Homelessness","2020 (COVID-19 Pandemic)","New York","36","No Suppression","15.6 (11.3 - 19.9)","NA"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","North Carolina","37","24,493","NA","75.4"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","North Carolina","37","6,154","NA","18.9"
"HIV prevalence","2020 (COVID-19 Pandemic)","North Carolina","37","33,391","377.5","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","North Carolina","37","1,080","12.2","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","North Carolina","37","14,756","166.8","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","North Carolina","37","439","5.0","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","North Carolina","37","No Suppression","29.9 (27.7 - 32.2)","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","North Carolina","37","655","7.4","NA"
"Linkage to HIV care","2020 (COVID-19 Pandemic)","North Carolina","37","887","NA","82.2"
"Unstable Housing or Homelessness","2020 (COVID-19 Pandemic)","North Carolina","37","No Suppression","14.8 (9.4 - 20.2)","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","North Dakota","38","7","1.1","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","North Dakota","38","232","36.0","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","North Dakota","38","Data not available","Data not available","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","North Dakota","38","8","1.2","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","North Dakota","38","36","5.6","NA"
"HIV prevalence","2020 (COVID-19 Pandemic)","North Dakota","38","517","80.3","NA"
"Linkage to HIV care","2020 (COVID-19 Pandemic)","North Dakota","38","31","NA","86.1"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","North Dakota","38","180","NA","11.8"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","North Dakota","38","389","NA","79.4"
"Unstable Housing or Homelessness","2020 (COVID-19 Pandemic)","North Dakota","38","Data not available","Data not available","NA"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","Ohio","39","16,823","NA","73.7"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Ohio","39","6,797","NA","16.9"
"HIV prevalence","2020 (COVID-19 Pandemic)","Ohio","39","23,465","235.5","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Ohio","39","10,915","109.6","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","Ohio","39","323","3.2","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Ohio","39","Data not available","Data not available","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","Ohio","39","421","4.2","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Ohio","39","883","8.9","NA"
"Linkage to HIV care","2020 (COVID-19 Pandemic)","Ohio","39","761","NA","85.7"
"Unstable Housing or Homelessness","2020 (COVID-19 Pandemic)","Ohio","39","Data not available","Data not available","NA"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","Oklahoma","40","4,421","NA","70.4"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Oklahoma","40","1,532","NA","13.9"
"HIV prevalence","2020 (COVID-19 Pandemic)","Oklahoma","40","6,584","200.2","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Oklahoma","40","3,046","92.6","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","Oklahoma","40","124","3.8","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Oklahoma","40","Data not available","Data not available","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","Oklahoma","40","158","4.8","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Oklahoma","40","341","10.4","NA"
"Linkage to HIV care","2020 (COVID-19 Pandemic)","Oklahoma","40","253","NA","76.0"
"Unstable Housing or Homelessness","2020 (COVID-19 Pandemic)","Oklahoma","40","Data not available","Data not available","NA"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","Oregon","41","6,147","NA","85.8"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Oregon","41","3,818","NA","19.3"
"HIV prevalence","2020 (COVID-19 Pandemic)","Oregon","41","7,313","201.1","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Oregon","41","3,875","106.6","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","Oregon","41","102","2.8","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Oregon","41","No Suppression","21.6 (16.6 - 26.7)","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","Oregon","41","127","3.5","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Oregon","41","180","4.9","NA"
"Linkage to HIV care","2020 (COVID-19 Pandemic)","Oregon","41","150","NA","83.3"
"Unstable Housing or Homelessness","2020 (COVID-19 Pandemic)","Oregon","41","No Suppression","10.1 (5.5 - 14.7)","NA"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Pennsylvania","42","10,582","NA","29.0"
"HIV prevalence","2020 (COVID-19 Pandemic)","Pennsylvania","42","36,400","327.5","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Pennsylvania","42","19,307","173.7","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","Pennsylvania","42","518","4.7","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Pennsylvania","42","No Suppression","28.2 (24.5 - 31.9)","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","Pennsylvania","42","721","6.5","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Pennsylvania","42","788","7.1","NA"
"Linkage to HIV care","2020 (COVID-19 Pandemic)","Pennsylvania","42","Data not available","NA","Data not available"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","Pennsylvania","42","Data not available","NA","Data not available"
"Unstable Housing or Homelessness","2020 (COVID-19 Pandemic)","Pennsylvania","42","No Suppression","17.0 (11.6 - 22.5)","NA"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","Rhode Island","44","2,050","NA","78.4"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Rhode Island","44","1,167","NA","30.1"
"HIV prevalence","2020 (COVID-19 Pandemic)","Rhode Island","44","2,671","281.1","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Rhode Island","44","1,402","147.6","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","Rhode Island","44","42","4.4","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Rhode Island","44","Data not available","Data not available","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","Rhode Island","44","51","5.4","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Rhode Island","44","53","5.6","NA"
"Linkage to HIV care","2020 (COVID-19 Pandemic)","Rhode Island","44","48","NA","90.6"
"Unstable Housing or Homelessness","2020 (COVID-19 Pandemic)","Rhode Island","44","Data not available","Data not available","NA"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","South Carolina","45","14,018","NA","81.1"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","South Carolina","45","2,095","NA","20.2"
"HIV prevalence","2020 (COVID-19 Pandemic)","South Carolina","45","17,669","405.7","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","South Carolina","45","9,138","209.8","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","South Carolina","45","283","6.5","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","South Carolina","45","Data not available","Data not available","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","South Carolina","45","375","8.6","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","South Carolina","45","655","15.0","NA"
"Linkage to HIV care","2020 (COVID-19 Pandemic)","South Carolina","45","576","NA","87.9"
"Unstable Housing or Homelessness","2020 (COVID-19 Pandemic)","South Carolina","45","Data not available","Data not available","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","South Dakota","46","3","0.4","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","South Dakota","46","301","41.2","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","South Dakota","46","Data not available","Data not available","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","South Dakota","46","6","0.8","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","South Dakota","46","37","5.1","NA"
"HIV prevalence","2020 (COVID-19 Pandemic)","South Dakota","46","689","94.2","NA"
"Linkage to HIV care","2020 (COVID-19 Pandemic)","South Dakota","46","29","NA","85.3"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","South Dakota","46","142","NA","15.6"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","South Dakota","46","555","NA","84.1"
"Unstable Housing or Homelessness","2020 (COVID-19 Pandemic)","South Dakota","46","Data not available","Data not available","NA"
"AIDS deaths","2019","Arkansas","05","78","3.1","NA"
"HIV Stigma","2019","Arkansas","05","Data not available","Data not available","NA"
"HIV deaths","2019","Arkansas","05","109","4.3","NA"
"HIV diagnoses","2019","Arkansas","05","288","11.4","NA"
"Linkage to HIV care","2019","Arkansas","05","229","NA","79.8"
"PrEP coverage and number of persons prescribed","2019","Arkansas","05","730","NA","14.2"
"Unstable Housing or Homelessness","2019","Arkansas","05","Data not available","Data not available","NA"
"Receipt of HIV medical care","2019","California","06","98,773","NA","76.8"
"PrEP coverage and number of persons prescribed","2019","California","06","41,672","NA","25.3"
"Linkage to HIV care","2019","California","06","3,601","NA","82.7"
"HIV prevalence","2019","California","06","132,793","401.5","NA"
"HIV diagnoses","2019","California","06","4,571","13.8","NA"
"HIV deaths","2019","California","06","1,763","5.3","NA"
"AIDS prevalence","2019","California","06","69,593","210.4","NA"
"AIDS deaths","2019","California","06","1,383","4.2","NA"
"HIV Stigma","2019","California","06","No Suppression","30.0 (27.9 - 32.0)","NA"
"Unstable Housing or Homelessness","2019","California","06","No Suppression","20.3 (16.2 - 24.4)","NA"
"Receipt of HIV medical care","2019","Colorado","08","8,427","NA","67.1"
"PrEP coverage and number of persons prescribed","2019","Colorado","08","4,404","NA","17.5"
"HIV prevalence","2019","Colorado","08","12,831","263.7","NA"
"AIDS prevalence","2019","Colorado","08","5,484","112.7","NA"
"AIDS deaths","2019","Colorado","08","100","2.1","NA"
"HIV Stigma","2019","Colorado","08","Data not available","Data not available","NA"
"HIV deaths","2019","Colorado","08","131","2.7","NA"
"HIV diagnoses","2019","Colorado","08","459","9.4","NA"
"Linkage to HIV care","2019","Colorado","08","385","NA","83.5"
"Unstable Housing or Homelessness","2019","Colorado","08","Data not available","Data not available","NA"
"Receipt of HIV medical care","2019","Connecticut","09","8,361","NA","80.5"
"PrEP coverage and number of persons prescribed","2019","Connecticut","09","2,672","NA","27.9"
"HIV prevalence","2019","Connecticut","09","10,521","343.5","NA"
"AIDS prevalence","2019","Connecticut","09","6,326","206.5","NA"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","Tennessee","47","14,176","NA","80.7"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Tennessee","47","5,160","NA","23.0"
"HIV prevalence","2020 (COVID-19 Pandemic)","Tennessee","47","18,321","313.4","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Tennessee","47","8,748","149.7","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","Tennessee","47","307","5.3","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Tennessee","47","Data not available","Data not available","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","Tennessee","47","442","7.6","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Tennessee","47","647","11.1","NA"
"Linkage to HIV care","2020 (COVID-19 Pandemic)","Tennessee","47","481","NA","74.3"
"Unstable Housing or Homelessness","2020 (COVID-19 Pandemic)","Tennessee","47","Data not available","Data not available","NA"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","Texas","48","68,963","NA","73.5"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Texas","48","27,564","NA","22.3"
"Linkage to HIV care","2020 (COVID-19 Pandemic)","Texas","48","2,731","NA","77.0"
"HIV prevalence","2020 (COVID-19 Pandemic)","Texas","48","97,429","406.4","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Texas","48","3,616","15.1","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","Texas","48","1,581","6.6","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Texas","48","46,922","195.7","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","Texas","48","1,211","5.1","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Texas","48","No Suppression","29.3 (26.0 - 32.6)","NA"
